Name	Academic Reputation SCORE	Citations per Faculty SCORE	Employment Outcomes SCORE
Mississippi State University	7.20	33.50	12.80
University of Missouri Saint Louis	5.10	13	12.70
Cleveland State University	4.50	7.70	12.40
Clarkson University	1	47.30	12.20
University of New Mexico	14.20	20.40	11.40
Binghamton University SUNY	10.10	19.50	11.30
Kent State University	7	20	11.30
Utah State University	7.40	32.80	11.30
New Mexico State University	6.60	21.30	10.80
University of Wyoming	3.60	29.60	10.60
University of Colorado, Denver	10.50	5	10.50
New Jersey Institute of Technology (NJIT)	7.50	40.60	10.40
University of Maryland, Baltimore County	13.60	20	10.30
University of Louisville	3.90	13.30	9.80
University of Mississippi	4.60	12	9.20
University of Texas at Dallas	19.30	43	9.10
University of Texas El Paso	6.80	21.50	9.10
Missouri University of Science and Technology	4.90	87.70	8.80
University of Texas at San Antonio	6.70	30.60	8
Northern Arizona University	9.50	23.40	7.50
University of Idaho	3.50	36.90	7.50
University of Massachusetts - Boston	13.80	23.30	7.40
The City College of New York	11.80	17.80	7.10
Pratt Institute	6.90	1.70	7.10
University of California, Riverside	21.40	64.20	7
IU Indianapolis	8.90	22.60	6.50
University of Alaska Fairbanks	3.40	19.90	5.90
University of Hawaii at Hilo	2.80	13.50	5.50
University of Alabama, Birmingham	7.30	24.10	5
University of North Carolina at Greensboro	3.60	15.10	5
Yeshiva University	3.80	72.80	4.90
Michigan Technological University	6.20	38.20	4.60
University of South Alabama (USA)	5.60	13.10	3.20
University of Maryland, Baltimore	7.60	22.50	2.30
